x,y,label
14.588842,20.916452,Echinodermata
14.615594,20.927448,Echinodermata
13.611146,21.674389,Echinodermata
15.69999,23.676268,Echinodermata
15.641704,23.643538,Echinodermata
13.747774,22.017439,Echinodermata
15.800088,23.580294,Echinodermata
15.83016,23.544895,Echinodermata
15.787913,23.648508,Echinodermata
14.581784,24.009665,Echinodermata
13.823828,21.007057,Echinodermata
16.071075,23.520767,Echinodermata
12.931175,21.245274,Echinodermata
14.224447,22.348745,Echinodermata
13.066889,21.547367,Echinodermata
14.466096,23.84131,Echinodermata
15.766904,23.594257,Echinodermata
15.668477,23.729637,Echinodermata
16.057806,23.5253,Echinodermata
16.024818,23.535538,Echinodermata
13.312021,21.09311,Echinodermata
13.871227,20.793177,Echinodermata
13.6165285,21.84528,Echinodermata
15.71524,23.715166,Echinodermata
15.743563,23.507252,Echinodermata
15.372296,23.566206,Echinodermata
15.625425,23.503256,Echinodermata
15.0618515,23.312386,Echinodermata
13.554301,21.820585,Echinodermata
